GroupedAI
airco_tube
airco_unit
barrel
box_medium
box_small
ceiling
structure_ceiling
chair
closet
computer_station
conveyor_belt
crate_large
door_small
door_large
electrical_box
fence_glass
fence_metal
forklift
ground
lamp
mop
paintbucket
small_pallet
palletjack
pillar
pipe_aluminium_large
pipe_aluminium_small
pipe_blue
pipe_orange
pipe_red
pipe_yellow
rack_large
rack_medium
railing
robotarm_large
sign_exit
sign_number
sofa
table
tv
wall
watertank
window_ceiling
window_large
RedCube
GreenCylinder
BlueCone
