airco_tube
airco_unit
barrel
box_30X30X3
box_30X40X10
box_30X40X20
box_30X60X30
box_406X60X20
box_40X40X20
box_40X40X40
box_40X60X60
box_60X60X20
box_60X60X60
ceiling
chair
closet
computer_station
conveyor_belt
conveyor_box
conveyor_box2
crate_100X120X100
crate_75X75X75
crate_huge
door
exit_door
electrical_box
euro_pallet_wood
fence_glass
fence_metal
fiberdrum
forklift
gaylord
ground
human_ai_C
lamp
mop
paintbucket
palletjack
pillar
pipe_aluminium_large
pipe_aluminium_small
pipe_blue
pipe_orange
pipe_red
pipe_yellow
rack_large
rack_medium
railing
robot_arm_large
sign_exit
sign_number
skybox
sofa
structure_ceiling
table
tv
wall
watertank
window_ceiling
window_large
RedCube
GreenCylinder
BlueCone
